Date,Series,Value
2011-10-20,MSNBC,0.0220
2011-10-21,MSNBC,0.0893
2011-10-22,MSNBC,0
2011-10-23,MSNBC,0
2011-10-24,MSNBC,0.1246
2011-10-25,MSNBC,0
2011-10-26,MSNBC,0
2011-10-27,MSNBC,0.0223
2011-10-28,MSNBC,0.0224
2011-10-29,MSNBC,0
2011-10-30,MSNBC,0
2011-10-31,MSNBC,0
2011-11-01,MSNBC,0
2011-11-02,MSNBC,0.0887
2011-11-03,MSNBC,0
2011-11-04,MSNBC,0
2011-11-05,MSNBC,0
2011-11-06,MSNBC,0
2011-11-07,MSNBC,0
2011-11-08,MSNBC,0.0224
2011-11-09,MSNBC,0
2011-11-10,MSNBC,0
2011-11-11,MSNBC,0
2011-11-12,MSNBC,0
2011-11-13,MSNBC,0
2011-11-14,MSNBC,0
2011-11-15,MSNBC,0.1568
2011-11-16,MSNBC,0
2011-11-17,MSNBC,0.0221
2011-11-18,MSNBC,0
